,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density,recommend
21,한울 닭갈비,한식,02 5488970,서울특별시 강남구 논현동 144-1번지 ,"[37.5095341, 127.0230912]",75.69,61.59,65.82
22,삼미,한식,02 5499485,서울특별시 강남구 논현동 143-10번지 ,"[37.50943340000001, 127.0229003]",51.73,87.96,77.09099999999998
23,코스모스(서울7거8638),이동조리,02 5585469,서울특별시 강남구 역삼동 765-17번지 ,"[37.4964473, 127.0521878]",71.96,43.02,51.702
24,미소야,분식,02 5626592,서울특별시 강남구 대치동 994-16번지 ,"[37.4983218, 127.0683104]",96.82,87.72,90.44999999999999
25,파란하늘,분식,02 5476238,서울특별시 강남구 신사동 661-1번지 ,"[37.5278854, 127.0388643]",58.31,52.32,54.11699999999999
26,트리아관광호텔,경양식,02 5679047,서울특별시 강남구 역삼동 677-11번지 트리아관광호텔 ,"[37.5028748, 127.0394336]",75.43,19.53,36.3
27,닐리스커피,한식,02 5441217,서울특별시 강남구 신사동 578-3번지 ,"[37.5258335, 127.0273962]",59.55,52.41,54.55199999999999
28,(주)화평칼국수,한식,02  518 3232,서울특별시 강남구 삼성동 52번지 ,"[37.5185445, 127.0507025]",56.95,63.04,61.213
29,대려도,중국식,02 5550550,서울특별시 강남구 역삼동 833번지 ,"[37.4932619, 127.0322652]",94.92,91.19,92.309
30,블루피쉬마켓,한식,02 5455192,서울특별시 강남구 역삼동 813번지 지상1층 ,"[37.506688, 127.0410111]",84.34,34.01,49.108999999999995
31,무한장어,한식,02 5561219,서울특별시 강남구 역삼동 696-27번지 지상1층 ,"[37.5064707, 127.0470229]",83.83,96.97,93.02799999999999
32,베이,한식,02 5564685,서울특별시 강남구 역삼동 730-5,"[37.4991037, 127.0439188]",53.27,39.84,43.869
33,카스앤락,경양식,02 5414613,서울특별시 강남구 신사동 578-0번지 ,"[37.5256976, 127.0270879]",72.75,98.03,90.446
34,서해쭈꾸미,한식,02 5528334,서울특별시 강남구 삼성동 166-6,"[37.5121302, 127.0653143]",52.01,16.96,27.474999999999998
35,주식회사곰바우,한식,02 5497513,서울특별시 강남구 삼성동 76-10번지 ,"[37.5148519, 127.0588021]",71.98,8.89,27.817
36,삼우정,한식,02 5565696,서울특별시 강남구 역삼동 611-2번지 ,"[37.505629, 127.0317414]",96.09,42.7,58.717
37,한우리외식산업(주),한식,02 5453336,서울특별시 강남구 논현동 91-18번지 ,"[37.5211001, 127.0347283]",68.8,30.73,42.150999999999996
38,한강수 정육식당,한식,02 5488404,서울특별시 강남구 도곡동 945번지 ,"[37.4892794, 127.0332698]",66.51,38.47,46.882
39,유성식당,한식,02 5554174,서울특별시 강남구 역삼동 773-8번지 ,"[37.4966829, 127.0450749]",75.54,71.99,73.05499999999999
40,(주)삼다연,한식,02  542 7445,서울특별시 강남구 논현동 7-20번지 ,"[37.5187643, 127.0277696]",65.61,25.51,37.54
41,삼도,일식,02 5573862,서울특별시 강남구 역삼동 785-13번지 ,"[37.4943755, 127.046208]",88.36,58.51,67.46499999999999
42,아라도,일식,02 5462618,서울특별시 강남구 신사동 577-0번지 ,"[37.5254029, 127.0266358]",53.08,86.84,76.71199999999999
43,필,한식,02 5671064,서울특별시 강남구 대치동 1021-14번지 ,"[37.4977579, 127.0592327]",66.43,62.66,63.791
44,청국장전문점,한식,02 5425985,서울특별시 강남구 논현동 98-12번지 ,"[37.5202946, 127.0359457]",57.26,91.66,81.33999999999999
45,김봉남포차 영동시장점,통닭(치킨),02 5485413,서울특별시 강남구 논현동 182-28번지 지상1층,"[37.5067913, 127.0245023]",84.93,1.19,26.312
46,마포숯불갈비,일식,02 5452702,서울특별시 강남구 삼성동 35-6번지 ,"[37.511668, 127.0435956]",73.72,59.31,63.632999999999996
47,요리왕,중국식,02  567 4742,서울특별시 강남구 대치동 999-8번지 ,"[37.50776159999999, 127.0669828]",63.35,16.75,30.729999999999997
48,북경,한식,02 5448041,서울특별시 강남구 삼성동 8-1번지 ,"[37.5158337, 127.0422812]",52.4,34.75,40.045
49,자금성,중국식,02 5156686,서울특별시 강남구 논현동 277-0번지 ,"[37.5097596, 127.0399303]",61.58,6.43,22.975
50,해남세발낙지,한식,02 5549292,서울특별시 강남구 대치동 1021-14번지 (도곡532-14->87.12.31서울시조례2251호의거동명칭및지번변경) ,"[37.49106, 127.0556945]",77.41,83.27,81.512
51,나의가야,한식,02 5471224,서울특별시 강남구 압구정동 429번지 현대백화점 5층 ,"[37.5273312, 127.0273463]",65.25,89.14,81.973
52,(주)청담푸드빌(청담복집)(신의주찹쌀순대),한식,02 5119081,서울특별시 강남구 청담동 68-7번지 ,"[37.52243929999999, 127.0551421]",69.93,47.66,54.340999999999994
53,베이징덕,중국식,02 5125252,서울특별시 강남구 신사동 610-1번지 ,"[37.5265256, 127.0288274]",60.7,5.07,21.759
54,솜리,한식,02 5473135,서울특별시 강남구 압구정동 429번지 ,"[37.5273268, 127.0274265]",55.38,1.5,17.664
55,현대집,한식,02 5461022,서울특별시 강남구 신사동 550-3번지 ,"[37.5235656, 127.0233597]",63.37,88.0,80.61099999999999
56,남포면옥,한식,02 5402596,서울특별시 강남구 논현동 89-10번지 ,"[37.5155245, 127.034187]",71.14,61.94,64.69999999999999
57,다원,분식,02 5473419,서울특별시 강남구 압구정동 429-0번지 지하1층 ,"[37.5273268, 127.0274265]",75.69,56.35,62.152
58,하이더푸 강남점,분식,02 5532677,서울특별시 강남구 역삼동 810-8,"[37.502939, 127.0262105]",84.76,37.32,51.552
59,금문도,중국식,02 5679289,서울특별시 강남구 역삼동 818-8번지 ,"[37.49968620000001, 127.0289534]",76.8,97.14,91.03799999999998
60,팔당 충무김밥 국수,한식,02 5485516,서울특별시 강남구 논현동 113-25번지 ,"[37.5170588, 127.0379115]",58.58,20.98,32.26
61,목로,한식,02 5422861,서울특별시 강남구 신사동 577-12번지 ,"[37.5254222, 127.0275587]",55.67,58.91,57.937999999999995
62,북경반점,경양식,02 5175777,서울특별시 강남구 신사동 513-2번지 ,"[37.5171118, 127.0206859]",64.65,41.38,48.361000000000004
63,티보리,경양식,02 5121239,서울특별시 강남구 청담동 79-16번지 ,"[37.5267875, 127.043139]",80.43,29.52,44.793
64,대인 식당,경양식,02 5496446,서울특별시 강남구 청담동 132-0번지 ,"[37.5223537, 127.0563922]",69.76,98.46,89.85
65,개포골,한식,02   00000,서울특별시 강남구 개포동 186-1번지 ,"[37.48865, 127.0668327]",88.44,1.58,27.637999999999998
66,카페스타시오,경양식,02  62022000,서울특별시 강남구 삼성동 112-5번지 ,"[37.5103037, 127.0452475]",55.6,94.91,83.11699999999999
67,박서방순대국밥,한식,02 5689204,서울특별시 강남구 삼성동 156-5번지 ,"[37.5086584, 127.0559006]",59.99,80.01,74.00399999999999
68,수궁갈비집,한식,02 5459646,서울특별시 강남구 삼성동 77-25번지 ,"[37.5142694, 127.0584034]",72.11,35.83,46.714
69,테헤란식당,한식,02 5562392,서울특별시 강남구 역삼동 707-27번지 ,"[37.5035079, 127.0470215]",84.03,37.54,51.486999999999995
70,사랑방,한식,02 5626655,서울특별시 강남구 역삼동 668-18번지 ,"[37.50236599999999, 127.0366603]",83.98,91.46,89.216
71,(주)신정,한식,02 5541033,서울특별시 강남구 역삼동 828-2번지 ,"[37.49704, 127.0323759]",68.65,34.89,45.018
72,88선수촌,한식,02 5481615,서울특별시 강남구 논현동 242-19번지 ,"[37.5161673, 127.0408584]",57.2,47.01,50.06699999999999
73,남서울민물장어,한식,02 5441010,서울특별시 강남구 논현동 204-3번지 ,"[37.5062433, 127.0295121]",80.17,76.84,77.839
74,은마골,한식,02 5690798,서울특별시 강남구 대치동 989-3번지 ,"[37.4990075, 127.0623803]",72.28,5.01,25.191000000000003
75,청담순두부두부공방,한식,02 5454840,서울특별시 강남구 신사동 654-7번지 ,"[37.5244, 127.0382913]",61.9,36.08,43.82599999999999
76,푸세울 닭,한식,02 5687806,서울특별시 강남구 삼성동 168-0번지 ,"[37.5104978, 127.0628462]",57.82,18.4,30.226
77,일편등심,경양식,02 5688961,서울특별시 강남구 역삼동 818-0번지 지하1층 ,"[37.4996254, 127.0277961]",94.2,50.61,63.687
78,마인드,경양식,02 5405063,서울특별시 강남구 논현동 213-10번지 ,"[37.5138303, 127.0332801]",74.99,72.89,73.52
79,(주)입속행복 리북집,한식,02 5408589,서울특별시 강남구 논현동 163-3번지 ,"[37.5086695, 127.0235753]",72.9,67.66,69.232
80,신양,한식,02 5413111,서울특별시 강남구 청담동 53-7번지 ,"[37.523764, 127.0542622]",53.79,66.19,62.47
81,한솥,한식,02 5692824,서울특별시 강남구 역삼동 751-14번지 ,"[37.4946774, 127.0350142]",51.74,21.41,30.509
82,작은호프,분식,02 5472793,서울특별시 강남구 논현동 98-12번지 청호불교문화원 ,"[37.5201248, 127.035743]",50.67,78.5,70.151
83,맹그르브 고기집,한식,02 5642718,서울특별시 강남구 논현동 163-1번지 ,"[37.5087265, 127.0234954]",68.31,95.61,87.41999999999999
84,와인앤다인,한식,02 5413111,서울특별시 강남구 청담동 53-7번지 1층 ,"[37.523764, 127.0542622]",84.43,57.83,65.81
85,더참치,한식,02 5553385,서울특별시 강남구 역삼동 735-32번지 ,"[37.4990484, 127.0341289]",68.02,78.91,75.643
86,천미향,중국식,02 5496858,서울특별시 강남구 논현동 83-20번지 2층 ,"[37.5168164, 127.0342688]",89.53,46.74,59.577
87,봉화장,중국식,02 5762375,서울특별시 강남구 개포동 653번지 ,"[37.4825481, 127.0544891]",60.02,80.26,74.188
88,부뚜막,한식,02 5775714,서울특별시 강남구 개포동 166-9,"[37.4831527, 127.0608134]",56.05,89.84,79.703
89,밥사부,한식,02  565 8999,서울특별시 강남구 역삼동 827-43번지 ,"[37.4968996, 127.0307436]",88.81,39.84,54.531000000000006
90,촌집 보쌈,한식,02566 2461,서울특별시 강남구 역삼동 788-27번지 ,"[37.4932767, 127.0420457]",77.18,22.7,39.044
91,지리산,한식,02 5143090,서울특별시 강남구 청담동 44-8번지 ,"[37.5185897, 127.0463659]",62.68,31.22,40.658
92,자연석돌구이,한식,02 5458427,서울특별시 강남구 논현동 97-18번지 ,"[37.5206031, 127.0353252]",55.45,14.84,27.023000000000003
93,바우골 화로구이,한식,02 5686721,서울특별시 강남구 역삼동 649-9,"[37.4993707, 127.0296949]",64.1,0.61,19.656999999999996
94,세이아,한식,02 5446386,서울특별시 강남구 논현동 5-1번지 ,"[37.5172519, 127.0233424]",72.33,65.36,67.451
95,물고기자리,한식,02  5483392,서울특별시 강남구 논현동 83-12번지 ,"[37.5166856, 127.0335895]",72.13,82.94,79.69699999999999
96,지리산,한식,02 5133090,서울특별시 강남구 청담동 44-8번지 ,"[37.5185897, 127.0463659]",67.78,52.55,57.119
97,펀 비어킹(fun beerking),한식,02 5445354,서울특별시 강남구 논현동 114-28번지 1층 ,"[37.5169193, 127.0371611]",58.89,97.14,85.66499999999999
98,왕소금구이,경양식,02 5115999,서울특별시 강남구 논현동 98-12번지 ,"[37.5202946, 127.0359457]",52.21,21.09,30.426
99,홍콩반점 신사역점,한식,02 5171667,서울특별시 강남구 신사동 536-7번지 ,"[37.51827280000001, 127.0228099]",61.27,77.68,72.757
100,석기정 강남점,한식,02 5843444,서울특별시 강남구 역삼동 823-9번지 ,"[37.4980315, 127.0321991]",59.23,55.86,56.870999999999995
101,하꼬네,일식,02 5597034,서울특별시 강남구 삼성동 159-8번지 ,"[37.5091322, 127.0608511]",94.15,71.4,78.22500000000001
102,전가 BY 서초집,경양식,02  562 0337,서울특별시 강남구 대치동 936-31,"[37.4973789, 127.0529553]",85.74,52.22,62.275999999999996
103,타미하우스,경양식,02 5667237,서울특별시 강남구 역삼동 745-3번지 ,"[37.4975261, 127.0376125]",55.69,76.66,70.36899999999999
104,프라자치킨,분식,02 5523245,서울특별시 강남구 역삼동 670-23번지 ,"[37.5028301, 127.0382197]",69.24,80.64,77.22
105,후지,경양식,02 5471613,서울특별시 강남구 청담동 132-14번지 ,"[37.521745, 127.0571159]",63.6,85.44,78.88799999999999
106,엔유,경양식,02 5477896,서울특별시 강남구 논현동 83-18 지하,"[37.5165272, 127.0341673]",78.79,50.8,59.196999999999996
107,문,경양식,02 5490333,서울특별시 강남구 논현동 96-1번지 ,"[37.5209673, 127.036669]",71.91,73.81,73.24
108,바른정육식당,일식,02 5492926,서울특별시 강남구 논현동 58-5번지 1층 ,"[37.5142477, 127.0296799]",56.04,52.12,53.29599999999999
109,공리,중국식,02 5620110,서울특별시 강남구 대치동 946-15번지 ,"[37.5073871, 127.0629292]",64.85,85.59,79.368
110,진시황,중국식,02 5493650,서울특별시 강남구 논현동 65-8번지 ,"[37.5195244, 127.0307869]",76.96,86.06,83.33
111,중화요리연경,중국식,02 5497843,서울특별시 강남구 청담동 80-16번지 ,"[37.5264309, 127.0448406]",74.94,16.99,34.375
112,오복식당,한식,02  34112865,서울특별시 강남구 세곡동 96-2번지 ,"[37.4653211, 127.1093738]",50.27,34.2,39.021
113,이자카야 겸,한식,02 5686689,서울특별시 강남구 역삼동 788-33번지 ,"[37.49316, 127.0420902]",91.16,39.8,55.208
114,신의주 부대찌게,한식,02 5113331,서울특별시 강남구 논현동 114-11번지 ,"[37.5167461, 127.0363579]",86.41,53.81,63.59
115,파이굽는집,한식,02 5493020,서울특별시 강남구 논현동 63-22번지 지상12층 ,"[37.5201144, 127.0338507]",61.41,10.25,25.598
116,베니스,한식,02 5470828,서울특별시 강남구 논현동 83-16번지 ,"[37.5163936, 127.0340242]",56.53,58.18,57.685
117,김상용동태이야기,한식,02 5469459,서울특별시 강남구 논현동 114-25번지 ,"[37.5168273, 127.0367098]",71.67,0.8,22.061
118,정선,한식,02 4005432,서울특별시 강남구 수서동 490-5번지 지하1층지상1층 ,"[37.4848395, 127.0972277]",56.57,9.81,23.838
119,금성스테이크 부대찌개,한식,02  547 4872,서울특별시 강남구 신사동 660-14번지 1층 ,"[37.52788049999999, 127.0377047]",53.53,58.03,56.67999999999999
120,양궈푸 마라탕,한식,02 5577628,서울특별시 강남구 역삼동 670-22번지 ,"[37.50279039999999, 127.0379838]",53.84,23.5,32.602000000000004
121,태능숯불갈비,한식,02 5424998,서울특별시 강남구 신사동 564-14번지 ,"[37.5210228, 127.027169]",55.09,92.6,81.347
122,로비라운지,경양식,02 5897909,서울특별시 강남구 삼성동 159-8번지 인터콘티넨탈 호텔 서울1층 ,"[37.5088823, 127.0608141]",50.83,25.01,32.756
123,주식회사 에도긴,일식,02 5685147,서울특별시 강남구 역삼동 827-58번지 에도긴빌딩23층 ,"[37.4968461, 127.0318062]",51.04,48.63,49.352999999999994
124,만요,일식,02 5114000,서울특별시 강남구 논현동 248-7,"[37.514021, 127.0358805]",92.18,68.57,75.65299999999999
125,풍년돌구이,일식,02 5463859,서울특별시 강남구 청담동 40-31번지 ,"[37.518182, 127.0412964]",75.32,46.28,54.992
126,영동식당,한식,02 5666627,서울특별시 강남구 대치동 974번지 대치현대아파트 ,"[37.5013267, 127.0600963]",74.03,24.06,39.051
127,목포낙지횟집,한식,02 5527826,서울특별시 강남구 삼성동 170-3번지 ,"[37.51062, 127.0654191]",63.12,11.27,26.825
128,옛날그맛명동칼국수,한식,02 5525592,서울특별시 강남구 역삼동 732-17번지 ,"[37.4980712, 127.0430453]",56.97,88.04,78.719
129,유가네전사랑,한식,02 5677228,서울특별시 강남구 역삼동 831-36번지 ,"[37.4944541, 127.0310669]",71.96,68.52,69.55199999999999
130,황소양곱창,한식,02 5559252,서울특별시 강남구 역삼동 797-4번지 ,"[37.4947497, 127.0394598]",79.62,41.58,52.992
131,피쉬스타(Fish Star),한식,02 5018050,서울특별시 강남구 역삼동 721-11번지 ,"[37.5003202, 127.0430392]",59.15,52.35,54.38999999999999
132,전주식당,분식,02 5483175,서울특별시 강남구 논현동 59-11번지 1층 ,"[37.5192657, 127.0292484]",58.53,46.86,50.361000000000004
133,삼화식당 1972,한식,02 5459253,서울특별시 강남구 신사동 512-17번지 ,"[37.5173989, 127.0206403]",96.04,98.55,97.797
134,25,분식,02 5449038,서울특별시 강남구 신사동 516-10번지 ,"[37.5188454, 127.0223137]",64.92,67.3,66.58599999999998
135,본가삼계탕,한식,02 5665350,서울특별시 강남구 역삼동 823-5번지 ,"[37.4982744, 127.0318194]",57.37,12.63,26.052
136,명동할머니국수삼성역점,한식,02 5542799,서울특별시 강남구 대치동 946-15번지 ,"[37.5073871, 127.0629292]",97.33,68.59,77.21199999999999
137,(주)공영식품 기소야삼성점,분식,02 5547077,서울특별시 강남구 삼성동 157-19번지 ,"[37.5079662, 127.0575686]",98.24,27.46,48.693999999999996
138,스시마니아,일식,02 5111870,서울특별시 강남구 역삼동 644-8번지 지하2층 ,"[37.5015997, 127.0350642]",69.01,71.02,70.41699999999999
139,마포소금구이,한식,02 4685455,서울특별시 강남구 역삼동 784-1번지 ,"[37.4951575, 127.0453046]",56.82,17.4,29.226
140,훼밀리아,뷔페식,02 5114000,서울특별시 강남구 논현동 248-7번지 ,"[37.514021, 127.0358805]",81.83,89.33,87.07999999999998
141,그랜드 인터컨티넨탈 서울 파르나스,한식,02  559 7049,서울특별시 강남구 삼성동 159-8번지 ,"[37.5091322, 127.0608511]",95.27,7.53,33.852
142,(주)신안관광호텔리베라,출장조리,02   00000,서울특별시 강남구 청담동 53-7번지 ,"[37.523764, 127.0542622]",93.75,70.03,77.146
143,뱃고동,분식,02 5148008,서울특별시 강남구 신사동 663-0번지 ,"[37.5265561, 127.0378313]",59.63,38.22,44.643
144,굴마을굴국밥,한식,02 5683468,서울특별시 강남구 대치동 906번지 (대치동604에서90.6.22개업-92.4.27이전) ,"[37.5016886, 127.0525095]",83.97,99.72,94.99499999999999
145,강성환차이나,중국식,02 5619974,서울특별시 강남구 삼성동 143-30번지 ,"[37.5067431, 127.0539115]",65.25,14.94,30.032999999999998
146,계몽돈까스,분식,02 5549387,서울특별시 강남구 역삼동 773-8번지 ,"[37.4966829, 127.0450749]",71.06,45.9,53.44799999999999
147,(주)소노호텔앤리조트 삼성지점,한식,02 5510091,서울특별시 강남구 삼성동 159-6번지 ,"[37.5095948, 127.0594292]",60.66,47.43,51.399
148,이지상사 카메오,한식,02  568 5400,서울특별시 강남구 역삼동 682-18 지상2층,"[37.5096155, 127.0436071]",58.09,38.3,44.236999999999995
149,별들의 기침,경양식,02 5143157,서울특별시 강남구 논현동 226-2번지 ,"[37.510282, 127.0353777]",63.26,72.01,69.385
150,본,경양식,02 5402993,서울특별시 강남구 논현동 56-22번지 ,"[37.5129109, 127.0265458]",51.79,51.94,51.894999999999996
151,베스트,경양식,02 5691007,서울특별시 강남구 역삼동 773-11번지 ,"[37.4965655, 127.0446025]",88.89,41.26,55.54899999999999
152,대범천,중국식,02 5453357,서울특별시 강남구 삼성동 1-4번지 ,"[37.516637, 127.04178]",95.72,26.76,47.44799999999999
153,난랑,중국식,02 5492888,서울특별시 강남구 논현동 86-5번지 ,"[37.5152321, 127.031597]",92.25,12.43,36.376
154,프로간장게장,한식,02 5690860,서울특별시 강남구 삼성동 152-56번지 ,"[37.5108339, 127.0562917]",60.11,72.68,68.909
155,이조식당,한식,02 5630623,서울특별시 강남구 삼성동 165-15번지 ,"[37.5130546, 127.0647316]",50.98,26.32,33.717999999999996
156,금모래,한식,02 5693935,서울특별시 강남구 역삼동 827-77번지 ,"[37.4961786, 127.031609]",65.98,54.63,58.035
157,골목길,한식,02 5441452,서울특별시 강남구 논현동 70-1번지 1층 ,"[37.51969709999999, 127.0337192]",97.81,50.54,64.721
158,요기당,한식,02 5146001,서울특별시 강남구 논현동 63-9번지 ,"[37.5202841, 127.0337727]",87.19,48.55,60.141999999999996
159,영동돌곱창,한식,02 5144821,서울특별시 강남구 논현동 98-12번지 지상1층 ,"[37.5202946, 127.0359457]",95.32,69.24,77.064
160,신삼국지,한식,02 5145525,서울특별시 강남구 논현동 115-22번지 ,"[37.5163935, 127.0361124]",74.31,20.4,36.57299999999999
161,오늘 와인한잔 세로수길점,한식,02 5112932,서울특별시 강남구 신사동 516-10번지 ,"[37.5188454, 127.0223137]",57.55,11.99,25.657999999999994
162,누락된 업소,한식,02 5491314,서울특별시 강남구 신사동 539-2번지 ,"[37.5187108, 127.0244467]",93.52,77.12,82.03999999999999
163,청기와생고기,한식,02 4450256,서울특별시 강남구 일원동 639-3번지 ,"[37.4951795, 127.0849813]",78.16,9.88,30.363999999999997
164,언양불고기,한식,02 5482684,서울특별시 강남구 논현동 141-5번지 ,"[37.5103085, 127.0228097]",87.98,56.6,66.014
165,현대(家),한식,02 5569629,서울특별시 강남구 역삼동 829-3번지 ,"[37.4957839, 127.0333635]",74.64,72.97,73.47099999999999
166,새마을식당 대치점,일식,02 5639360,서울특별시 강남구 대치동 936-16번지 ,"[37.4979075, 127.0539336]",76.18,92.08,87.30999999999999
167,고향식당,한식,02 5444987,서울특별시 강남구 논현동 80-22번지 ,"[37.5161092, 127.0302124]",84.3,53.27,62.579
168,동해횟집,일식,02 5561920,서울특별시 강남구 대치동 1005-4번지 ,"[37.5061709, 127.0660232]",84.6,44.75,56.705
169,영양센타대치점,한식,02 5554747,서울특별시 강남구 대치동 1023-8번지 지상1층 ,"[37.4976753, 127.0581322]",81.41,76.27,77.812
170,페리카나치킨,분식,02 5624005,서울특별시 강남구 대치동 626번지 108호,"[37.49312949999999, 127.059154]",69.19,62.97,64.83599999999998
171,맛자랑,한식,02 5639646,서울특별시 강남구 대치동 987-7번지 지상1층 ,"[37.5002542, 127.0631304]",55.35,52.98,53.691
172,마왕족발,분식,02 5675355,서울특별시 강남구 대치동 990-0 삼성상가114호,"[37.5002542, 127.0631304]",87.77,45.68,58.307
173,초가집,한식,02 5443103,서울특별시 강남구 삼성동 116-34번지 ,"[37.5113175, 127.051872]",83.46,38.82,52.211999999999996
174,허수아비돈까스,한식,02 5664949,서울특별시 강남구 삼성동 165-8번지 ,"[37.51374150000001, 127.0643226]",82.38,67.78,72.16
175,텐텐,분식,02 5526008,서울특별시 강남구 삼성동 165-8번지 ,"[37.51374150000001, 127.0643226]",56.17,67.66,64.213
176,페리카나,분식,02 5155770,서울특별시 강남구 논현동 122-25번지 지상1층 102호 ,"[37.510383, 127.0243029]",69.58,64.16,65.78599999999999
177,밤푸스치킨,분식,02 5761639,서울특별시 강남구 일원동 663-8번지 지상1층 ,"[37.4921827, 127.0843009]",50.09,17.27,27.116
178,(주)김돈이,한식,02 5680508,서울특별시 강남구 삼성동 140-29번지 ,"[37.5060675, 127.0492318]",56.5,51.88,53.266000000000005
179,(주)마라무쌍,한식,02 5151096,서울특별시 강남구 신사동 514-10번지 ,"[37.5175857, 127.0223132]",76.59,78.51,77.934
180,세자매복집,한식,02  545 3338,서울특별시 강남구 논현동 242-24번지 지상1층 ,"[37.5156702, 127.0412279]",94.5,94.51,94.50699999999999
181,(주)예,일식,02 5492384,서울특별시 강남구 논현동 70-0번지 ,"[37.5198237, 127.0336666]",65.69,62.5,63.456999999999994
182,삼호짱뚱이,한식,02 5156638,서울특별시 강남구 논현동 64-0번지 ,"[37.51959009999999, 127.0309988]",74.43,78.37,77.188
183,삼삼이네,한식,02 5120223,서울특별시 강남구 신사동 515-6번지 ,"[37.5183656, 127.0223641]",82.05,9.07,30.964
184,뉴델리,경양식,02 5156087,서울특별시 강남구 신사동 613-15번지 ,"[37.5274575, 127.0306074]",68.57,57.41,60.757999999999996
185,외객,중국식,02 5141244,서울특별시 강남구 청담동 132-8번지 ,"[37.5220904, 127.0569294]",63.57,92.98,84.157
186,남산희래등,중국식,02 5625296,서울특별시 강남구 대치동 903-3번지 ,"[37.5026182, 127.0567492]",86.51,15.9,37.083
187,신대흥장,중국식,02 5534400,서울특별시 강남구 역삼동 637-36번지 ,"[37.500703, 127.0333906]",66.32,68.46,67.81799999999998
188,시나브로,한식,02 5790113,서울특별시 강남구 개포동 186-17번지 ,"[37.4893117, 127.0688124]",93.48,57.69,68.42699999999999
189,도곡원,중국식,02 5721776,서울특별시 강남구 도곡동 419-9번지 ,"[37.4855381, 127.0454452]",89.75,29.14,47.323
190,두꺼비,한식,02 5652208,서울특별시 강남구 대치동 906-21번지 ,"[37.5014291, 127.0530726]",69.46,5.78,24.883999999999997
191,투다리,한식,02 5734644,서울특별시 강남구 개포동 186-12번지 ,"[37.4887169, 127.0673204]",74.47,11.05,30.075999999999997
192,한성양꼬치,한식,02 5663001,서울특별시 강남구 대치동 896-2번지 ,"[37.5031176, 127.0518242]",53.79,59.21,57.583999999999996
193,국시랑 만두,한식,02 5650199,서울특별시 강남구 삼성동 143-31번지 ,"[37.5066847, 127.0537075]",94.75,49.36,62.977000000000004
